from	to	synthesis.pathway	leading.name	enzyme.id	hgnc.symbols	SetID	Level
Dihydroxyoctadecadienoic acid	Trihydroxyoctadecenoic acid	Octadecanoid Biosynthesis	Lipoxygenase	ALOX5	"ALOX5,ALOX12,ALOX15,ALOX15B"	Oxylipins	1
7-alpha-hydroxy-4-cholesten-3-one	Tauro-cholic acid	Cholesterol Catabolism	Aldo-keto reductase family 1 member D1	AKR1D1	"AKR1D1,AKR1C4,CYP27A1"	Cholesterol Catabolism	1
7-alpha-hydroxy-4-cholesten-3-one	Tauro-chenodeoxycholic acid	Cholesterol Catabolism	Aldo-keto reductase family 1 member D1	AKR1D1	"AKR1D1,AKR1C4,CYP27A1"	Cholesterol Catabolism	1
7-alpha-hydroxycholesterol	7-alpha-hydroxy-4-cholesten-3-one	Cholesterol Catabolism	Hydroxy-delta-5-steroid dehydrogenase 3B7	HSD3B7	HSD3B7	Cholesterol Catabolism	1
Cholesterol	7-alpha-hydroxycholesterol	Cholesterol Catabolism	CYP450 monooxygenase 7A1	CYP7A1	CYP7A1	Cholesterol Catabolism	1
Acetyl-CoA	Malonyl-CoA	Fatty Acid Metabolism	Acetyl-CoA carboxylase	ACAC	"ACACA,ACACB"	Fatty Acid Metabolism	1
Citrate	Acetyl-CoA	Fatty Acid Metabolism	ATP citrate lyase	ACLY	ACLY	Fatty Acid Metabolism	1
Malonyl-CoA	Saturated FA/Palmitic acid	Fatty Acid Metabolism	Fatty acid synthase	FASN	FASN	Fatty Acid Metabolism	1
Saturated FA/Palmitic acid	Mono/polyunsaturated fatty acid	Fatty Acid Metabolism	Fatty acid elongase	ELOVL	"ELOVL1,ELOVL2,ELOVL3,ELOVL4,ELOVL5,ELOVL6,ELOVL7"	Fatty Acid Metabolism	1
Saturated FA/Palmitic acid	Fatty acyl-CoA	Fatty Acid Metabolism	Acyl-CoA synthetase	ACSL1	"ACSL1,ACSL2,ACSL3,ACSL4,ACSL5,ACSL6"	Fatty Acid Metabolism	1
Diacylglycerol	Triacylglycerol	Glycerolipid Metabolism	Acyl-CoA diacylglycerol acyltransferase	DGAT1	DGAT1	Glycerolipid Metabolism	1
Monoacylglycerol	Diacylglycerol	Glycerolipid Metabolism	Monoacylglycerol O-acyltransferase	MOGAT1	MOGAT1	Glycerolipid Metabolism	1
Triacylglycerol	Monoacylglycerol	Glycerolipid Metabolism	Pancreatic lipase	PNLIP	PNLIP	Glycerolipid Metabolism	1
Carnitine	Acylcarnitine	Lipid Transport	Carnitine O-acyltransferase	CRAT	"CRAT,CPT1A,CPT1B"	Lipid Transport	1
Fatty acyl-CoA	Acylcarnitine	Lipid Transport	Carnitine O-acyltransferase	CRAT	"CRAT,CPT1A,CPT1B"	Lipid Transport	1
CDP-Diacylglycerol	Phosphatidylglycerol phosphate	Phospholipid Metabolism	Phosphatidylglycerophosphate synthase	PGS1	PGS1	Phospholipid Metabolism	1
CDP-Diacylglycerol	Phosphatidylinositol	Phospholipid Metabolism	Phosphatidylinositol synthase	CDIPT	CDIPT	Phospholipid Metabolism	1
DHAP	Plasmalogen	Phospholipid Metabolism	Glyceronephosphate O-acyltransferase	GNPAT	"GNPAT,AGPS"	Phospholipid Metabolism	1
Diacylglycerol	Phosphatidylcholine	Phospholipid Metabolism	Choline phosphotransferase	CHPT1/SGMS1	"CHPT1,SGMS1,SGMS2"	Phospholipid Metabolism	1
Diacylglycerol	Phosphatidylethanolamine	Phospholipid Metabolism	Ethanolamine phosphotransferase	CEPT1	"CEPT1,EPT1"	Phospholipid Metabolism	1
Fatty acyl-CoA	Plasmalogen	Phospholipid Metabolism	Glyceronephosphate O-acyltransferase	GNPAT	"GNPAT,AGPS"	Phospholipid Metabolism	1
Glycerol-3-phosphate	Lysophosphatidylcholine	Phospholipid Metabolism	Glycerol-3-phosphate acyltransferase 3	GPAT3	GPAT3	Phospholipid Metabolism	1
Lysophosphatidic acid	Phosphatidic acid	Phospholipid Metabolism	1-acylglycerol-3-phosphate O-acyltransferase	AGPAT1/PLA2G6	"AGPAT1,AGPAT2,AGPAT3,AGPAT4,PLA2G2A,PLA2G1B,PLA2G1A,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PLA2G6,PLA2G7,PLA2G10,PLA2G12A,PLA2G12B,PLA2G3"	Phospholipid Metabolism	1
Lysophosphatidic acid	Monoacylglycerol	Phospholipid Metabolism	Phospholipid phosphatase	PLPP1	PLPP1	Phospholipid Metabolism	1
Mono/polyunsaturated fatty acid	Lysophosphatidic acid	Phospholipid Metabolism	Glycerol-3-phosphate acyltransferase 3	GPAT3	GPAT3	Phospholipid Metabolism	1
Phosphatidic acid	Diacylglycerol	Phospholipid Metabolism	Phosphatidic acid phosphatase	PPAP2A	"PPAP2A,PPAP2B,PLPP1"	Phospholipid Metabolism	1
Phosphatidic acid	CDP-Diacylglycerol	Phospholipid Metabolism	cdp-diacylglycerol synthase	CDS1	"CDS1,CDS2"	Phospholipid Metabolism	1
Phosphatidylcholine	Phosphatidylserine	Phospholipid Metabolism	phosphatidylserine synthase 1/2	PTDSS1	"PTDSS1,PTDSS2"	Phospholipid Metabolism	1
