Source	Species	Organ	Matrix	Tx	standard.name	Name	Major Class	Class	Abbreviation	Saturation	Highest Saturation Degree	Cluster	Subclass	Chain Length	Chain Type	Subclass 2	synthesis.pathway	label	label.saturation
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(17:1)	PG(17:1/0:0)	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Monounsaturated	1	Monounsaturated LPG	Unsaturated LPG	17	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	LPG(18:0)	LPG(18:0)	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Saturated	0	Saturated LPG	Saturated LPG	18	LCFA	Saturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Saturated.Lysophosphatidylglycerol
Pnnl_balf	Human	Lung	BALF	Normal	LPG(18:0)	LPG 18:0	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Saturated	0	Saturated LPG	Saturated LPG	18	LCFA	Saturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Saturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(18:0)	PG(18:0/0:0)_A	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Saturated	0	Saturated LPG	Saturated LPG	18	LCFA	Saturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Saturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(18:0)	PG(18:0/0:0)_B	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Saturated	0	Saturated LPG	Saturated LPG	18	LCFA	Saturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Saturated.Lysophosphatidylglycerol
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	LPG(18:1)	LPG(18:1)	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Monounsaturated	1	Monounsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_balf	Human	Lung	BALF	Normal	LPG(18:1)	LPG 18:1	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Monounsaturated	1	Monounsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(18:1)	PG(18:1/0:0)_A	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Monounsaturated	1	Monounsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(18:1)	PG(18:1/0:0)_B	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Monounsaturated	1	Monounsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPG(18:1)	PG(18:1/0:0)_A	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Monounsaturated	1	Monounsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPG(18:1)	PG(18:1/0:0)_B	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Monounsaturated	1	Monounsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_balf	Human	Lung	BALF	Normal	LPG(18:2)	LPG 18:2	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	2	Polyunsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(18:2)	PG(18:2/0:0)_A	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	2	Polyunsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(18:2)	PG(18:2/0:0)_B	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	2	Polyunsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPG(18:2)	PG(18:2/0:0)_A	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	2	Polyunsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPG(18:2)	PG(18:2/0:0)_B	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	2	Polyunsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_balf	Human	Lung	BALF	Normal	LPG(18:3)	LPG 18:3	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	3	Polyunsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(18:3)	PG(18:3/0:0)_A	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	3	Polyunsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(18:3)	PG(18:3/0:0)_B	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	3	Polyunsaturated LPG	Unsaturated LPG	18	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_balf	Human	Lung	BALF	Normal	LPG(19:1)	LPG 19:1	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Monounsaturated	1	Monounsaturated LPG	Unsaturated LPG	19	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_balf	Human	Lung	BALF	Normal	LPG(20:2)	LPG 20:2	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	2	Polyunsaturated LPG	Unsaturated LPG	20	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_balf	Human	Lung	BALF	Normal	LPG(20:3)	LPG 20:3	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	3	Polyunsaturated LPG	Unsaturated LPG	20	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPG(20:3)	PG(20:3/0:0)	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	3	Polyunsaturated LPG	Unsaturated LPG	20	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_balf	Human	Lung	BALF	Normal	LPG(20:4)	LPG 20:4	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	4	Polyunsaturated LPG	Unsaturated LPG	20	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(20:4)	PG(20:4/0:0)_A	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	4	Polyunsaturated LPG	Unsaturated LPG	20	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	LPG(20:4)	PG(20:4/0:0)_B	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	4	Polyunsaturated LPG	Unsaturated LPG	20	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPG(20:4)	PG(20:4/0:0)_A	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	4	Polyunsaturated LPG	Unsaturated LPG	20	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPG(20:4)	PG(20:4/0:0)_B	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	4	Polyunsaturated LPG	Unsaturated LPG	20	LCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	LPG(22:4)	PG(22:4/0:0)	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	4	Polyunsaturated LPG	Unsaturated LPG	22	VLCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
Pnnl_balf	Human	Lung	BALF	Normal	LPG(22:5)	LPG 22:5	Glycerophospholipids	Lysophosphatidylglycerol	LPG	Polyunsaturated	5	Polyunsaturated LPG	Unsaturated LPG	22	VLCFA	Unsaturated LPG-LCFA	Phospholipid Metabolism	Lysophosphatidylglycerol	Unsaturated.Lysophosphatidylglycerol
