Source	Species	Organ	Matrix	Tx	standard.name	Name	Major Class	Class	Abbreviation	Saturation	Highest Saturation Degree	Cluster	Subclass	Chain Length	Chain Type	Subclass 2	synthesis.pathway	label	label.saturation
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	"(Z)-9,12,13-trihydroxyoctadec-15-enoic acid "	"(Z)-9,12,13-trihydroxyoctadec-15-enoic acid "	Oxylipins	TriHOME	TriHOME	Monounsaturated	1	Polyunsaturated Oxylipin	Unsaturated Oxylipin	18	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	TriHOME	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	13-HODE 	13-HODE 	Oxylipins	HODE	HODE	Polyunsaturated	2	Polyunsaturated Oxylipin	Unsaturated Oxylipin	18	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	HODE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	13-HpOTrE 	13-HpOTrE 	Oxylipins	HpOTrE	HpOTrE	Polyunsaturated	3	Polyunsaturated Oxylipin	Unsaturated Oxylipin	18	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	HpOTrE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	13-KODE 	13-KODE 	Oxylipins	KODE	KODE	Polyunsaturated	2	Polyunsaturated Oxylipin	Unsaturated Oxylipin	18	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	KODE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	15-HPETE 	15-HPETE 	Oxylipins	HPETE	HPETE	Polyunsaturated	4	Polyunsaturated Oxylipin	Unsaturated Oxylipin	20	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	HPETE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	3-beta-hydroxy-5-cholestenoic acid 	3-beta-hydroxy-5-cholestenoic acid 	Sterol Lipids	Bile Acids	BA	Polyunsaturated	Unknown	Polyunsaturated BA	Unsaturated BA	Unknown	Unknown	Unsaturated BA-Unknown	Sterol Lipid Metabolism	Bile Acids	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	4-HDoHE 	4-HDoHE 	Oxylipins	HDoHE	HDoHE	Polyunsaturated	6	Polyunsaturated Oxylipin	Unsaturated Oxylipin	22	VLCFA	Unsaturated Oxylipin-VLCFA	Arachidonic Acid Cascade	HDoHE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	5-HETE 	5-HETE 	Oxylipins	HETE	HETE	Polyunsaturated	4	Polyunsaturated Oxylipin	Unsaturated Oxylipin	20	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	HETE	Unsaturated.Oxylipin
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	"8,15-DiHETE "	"8,15-DiHETE "	Oxylipins	DiHETE	DiHETE	Polyunsaturated	4	Polyunsaturated Oxylipin	Unsaturated Oxylipin	20	LCFA	Unsaturated Oxylipin-LCFA	Arachidonic Acid Cascade	DiHETE	Unsaturated.Oxylipin
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	AC(10:0)	AC 10:0	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	10	SCFA & MCFA	Saturated AC-SCFA & MCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	AC(10:1)	carnitine(10:1)	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	10	SCFA & MCFA	Unsaturated AC-SCFA & MCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	AC(12:0)	CAR 12:0 	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	12	SCFA & MCFA	Saturated AC-SCFA & MCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	AC(12:0)	carnitine(12:0)	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	12	SCFA & MCFA	Saturated AC-SCFA & MCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	AC(12:0)	carnitine(12:0)	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	12	SCFA & MCFA	Saturated AC-SCFA & MCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	AC(12:1)	carnitine(12:1)	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	12	SCFA & MCFA	Unsaturated AC-SCFA & MCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	AC(12:1)	carnitine(12:1)	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	12	SCFA & MCFA	Unsaturated AC-SCFA & MCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	AC(14:0)	carnitine(14:0)	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	14	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Stev_ozaw	Mouse	Lung	Microdissected Airways and PA	Ozone/HDM	AC(14:0)	CAR 14:0	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	14	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	AC(14:0)	carnitine(14:0)	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	14	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	AC(14:1)	AC 14:1	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	14	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	AC(14:1)	carnitine(14:1)	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	14	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	AC(14:2)	AC 14:2	Carnitine	Acylcarnitine	AC	Polyunsaturated	2	Polyunsaturated AC	Unsaturated AC	14	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	AC(16:0)	CAR 16:0 	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	16	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Pnnl_balf	Human	Lung	BALF	Normal	AC(16:0)	CAR 16:0	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	16	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	AC(16:0)	carnitine(16:0)	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	16	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Stev_ozaw	Mouse	Lung	Microdissected Airways and PA	Ozone/HDM	AC(16:0)	AC 16:0	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	16	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	AC(16:0)	carnitine(16:0)	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	16	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	AC(16:1)	carnitine(16:1)	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	16	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	AC(16:1)	carnitine(16:1)	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	16	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	AC(18:0)	CAR 18:0	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	18	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	AC(18:0)	carnitine(18:0)	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	18	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Stev_ozaw	Mouse	Lung	Microdissected Airways and PA	Ozone/HDM	AC(18:0)	CAR 18:0	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	18	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	AC(18:0)	carnitine(18:0)	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	18	LCFA	Saturated AC-LCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	AC(18:1)	CAR 18:1 	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	18	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Pnnl_balf	Human	Lung	BALF	Normal	AC(18:1)	CAR 18:1	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	18	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	AC(18:1)	carnitine(18:1)	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	18	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Stev_ozaw	Mouse	Lung	Microdissected Airways and PA	Ozone/HDM	AC(18:1)	AC 18:1	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	18	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	AC(18:1)	carnitine(18:1)	Carnitine	Acylcarnitine	AC	Monounsaturated	1	Monounsaturated AC	Unsaturated AC	18	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	AC(18:2)	CAR 18:2	Carnitine	Acylcarnitine	AC	Polyunsaturated	2	Monounsaturated AC	Unsaturated AC	18	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Stev_ozaw	Mouse	Lung	Microdissected Airways and PA	Ozone/HDM	AC(18:2)	AC 18:2	Carnitine	Acylcarnitine	AC	Polyunsaturated	2	Polyunsaturated AC	Unsaturated AC	18	LCFA	Unsaturated AC-LCFA	Lipid Transport	Acylcarnitine	Unsaturated.Acylcarnitine
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	AC(8:0)	CAR 8:0 	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	8	SCFA & MCFA	Saturated AC-SCFA & MCFA	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	BMP(32:1)	BMP 32:1	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Monounsaturated	1	Monounsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	BMP(34:2)	BMP 34:2	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	2	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	BMP(36:2)	BMP 18:1_18:1 	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	1	Polyunsaturated BMP	Unsaturated BMP	18	LCFA	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	BMP(36:3)	BMP 36:3	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	3	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	BMP(36:4)	BMP 36:4	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	4	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	BMP(38:6)	BMP 38:6	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	6	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	BMP(40:7)	BMP 40:7	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	7	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	BMP(40:8)	BMP 40:8	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	8	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_ozaw	Mouse	Lung	Microdissected Airways and PA	Ozone/HDM	BMP(40:8)	BMP 40:8	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	8	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	BMP(42:10)	BMP 42:10	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	10	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_ozaw	Mouse	Lung	Microdissected Airways and PA	Ozone/HDM	BMP(42:10)	BMP 42:10	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	10	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	BMP(44:11)	BMP 44:11	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	11	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_ozaw	Mouse	Lung	Microdissected Airways and PA	Ozone/HDM	BMP(44:11)	BMP 44:11	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	11	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	BMP(44:12)	BMP 44:12	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	12	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Stev_ozaw	Mouse	Lung	Microdissected Airways and PA	Ozone/HDM	BMP(44:12)	BMP 44:12	Glycerolipids	Bis(monoacylglycero)Phosphate	BMP	Polyunsaturated	12	Polyunsaturated BMP	Unsaturated BMP	Unknown	Unknown	Unsaturated BMP-Unknown	Unknown	Bis(monoacylglycero)Phosphate	Unsaturated.Bis(monoacylglycero)Phosphate
Morg_pcb	Mouse	Lung	"Trach,Lobe"	"Normal,PCB"	Carnitine	Carnitine	Carnitine	Acylcarnitine	AC	Saturated	0	Saturated AC	Saturated AC	Unknown	Unknown	Saturated AC-Unknown	Lipid Transport	Acylcarnitine	Saturated.Acylcarnitine
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	CE(16:0)	CE 16:0	Sterol Lipids	Cholesterol Ester	CE	Saturated	0	Saturated CE	Saturated CE	16	LCFA	Saturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Saturated.Cholesterol Ester
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	CE(16:1)	CE(16:1)	Sterol Lipids	Cholesterol Ester	CE	Monounsaturated	1	Monounsaturated CE	Unsaturated CE	16	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	CE(16:1)	CE(16:1)	Sterol Lipids	Cholesterol Ester	CE	Monounsaturated	1	Monounsaturated CE	Unsaturated CE	16	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	CE(16:1)	CE 16:1	Sterol Lipids	Cholesterol Ester	CE	Monounsaturated	1	Monounsaturated CE	Unsaturated CE	16	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	CE(18:0)	CE(18:0)	Sterol Lipids	Cholesterol Ester	CE	Saturated	0	Saturated CE	Saturated CE	18	LCFA	Saturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Saturated.Cholesterol Ester
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	CE(18:1)	CE(18:1)	Sterol Lipids	Cholesterol Ester	CE	Monounsaturated	1	Monounsaturated CE	Unsaturated CE	18	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	CE(18:1)	CE 18:1	Sterol Lipids	Cholesterol Ester	CE	Monounsaturated	1	Monounsaturated CE	Unsaturated CE	18	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	CE(18:1)	CE(18:1)	Sterol Lipids	Cholesterol Ester	CE	Monounsaturated	1	Monounsaturated CE	Unsaturated CE	18	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	CE(18:2)	CE(18:2)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	2	Polyunsaturated CE	Unsaturated CE	18	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	CE(18:2)	CE(18:2)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	2	Polyunsaturated CE	Unsaturated CE	18	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	CE(18:2)	CE 18:2	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	2	Polyunsaturated CE	Unsaturated CE	18	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	CE(18:2)	CE(18:2)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	2	Polyunsaturated CE	Unsaturated CE	18	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	CE(18:3)	CE(18:3)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	3	Polyunsaturated CE	Unsaturated CE	18	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	CE(18:3)	CE 18:3	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	3	Polyunsaturated CE	Unsaturated CE	18	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	CE(18:3)	CE(18:3)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	3	Polyunsaturated CE	Unsaturated CE	18	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	CE(20:2)	CE(20:2)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	2	Polyunsaturated CE	Unsaturated CE	20	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	CE(20:3)	CE(20:3)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	3	Polyunsaturated CE	Unsaturated CE	20	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	CE(20:3)	CE(20:3)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	3	Polyunsaturated CE	Unsaturated CE	20	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Wolf_cv19	Human	Lung	Exudate	COVID+/COVID-	CE(20:3)	CE(20:3)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	3	Polyunsaturated CE	Unsaturated CE	20	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	CE(20:4)	CE(20:4)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	4	Polyunsaturated CE	Unsaturated CE	20	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	CE(20:4)	CE(20:4)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	4	Polyunsaturated CE	Unsaturated CE	20	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	CE(20:4)	CE 20:4	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	4	Polyunsaturated CE	Unsaturated CE	20	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	CE(20:5)	CE(20:5)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	5	Polyunsaturated CE	Unsaturated CE	20	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	CE(20:5)	CE 20:5	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	5	Polyunsaturated CE	Unsaturated CE	20	LCFA	Unsaturated CE-LCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Stev_lnap	Mouse	Lung	Microdissected Airways and PA	Naphthalene	CE(22:2)	CE 22:2	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	2	Polyunsaturated CE	Unsaturated CE	22	VLCFA	Unsaturated CE-VLCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Arst_pres	Human	Lung	BALF	CF Bronchiectasis Y/N	CE(22:4)	CE(22:4)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	4	Polyunsaturated CE	Unsaturated CE	22	VLCFA	Unsaturated CE-VLCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
Pnnl_ehbs	Human	Lung	"ETT,SPU,HBE"	Normal	CE(22:4)	CE(22:4)	Sterol Lipids	Cholesterol Ester	CE	Polyunsaturated	4	Polyunsaturated CE	Unsaturated CE	22	VLCFA	Unsaturated CE-VLCFA	Sterol Lipid Metabolism	Cholesterol Ester	Unsaturated.Cholesterol Ester
