from,to,level,major.class,synthesis.pathway,leading.name,enzyme.id,ensembl,hgnc.symbols,PMCID,URL,doi
Docosapentaenoic acid,Epoxydocosapentaenoic acid,1,Oxylipins,Docosanoid Biosynthesis,CYP450 monooxygenase families C/J,CYP2J2,ENSG00000134716,"CYP2J2,CYP2C9,CYP2C8,CYP2C19,CYP2C18",,https://www.ncbi.nlm.nih.gov/gene/1573,10.1073/pnas.1521453113
Hydroperoxydocosapentaenoic acid,Hydroxydocosapentaenoic acid,2,Oxylipins,Docosanoid Biosynthesis,Glutathione peroxidase,GPX1,ENSG00000233276,"GPX1, GPX2, GPX4",,https://www.ncbi.nlm.nih.gov/gene/2876,
Hydroperoxydocosapentaenoic acid,Resolvin T,2,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,ALOX5,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Hydroxydocosapentaenoic acid,Dihydroxydocosapentaenoic acid,3,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Epoxydocosapentaenoic acid,Dihydroxydocosapentaenoic acid,2,Oxylipins,Docosanoid Biosynthesis,soluble epoxide hydrolase,EPHX2,ENSG00000120915,EPHX2,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000120915;r=8:27490781-27545564,
Hydroperoxydocosahexaenoic acid,Maresin,2,Oxylipins,Docosanoid Biosynthesis,Lipoxygenase,ALOX12,ENSG00000108839,"ALOX12, EPHX2",,https://www.ncbi.nlm.nih.gov/gene/239,
Linoleic acid,Hydroperoxyoctadecadienoic acid,1,Oxylipins,Octadecanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Linoleic acid,Epoxyoctadecenoic acid,1,Oxylipins,Octadecanoid Biosynthesis,CYP450 monooxygenase families C/J,CYP2J2,ENSG00000134716,"CYP2J2,CYP2C9,CYP2C8,CYP2C19,CYP2C18",,https://www.ncbi.nlm.nih.gov/gene/1573,10.1073/pnas.1521453113
Hydroperoxyoctadecadienoic acid,Hydroxyoctadecadienoic acid,2,Oxylipins,Octadecanoid Biosynthesis,Glutathione peroxidase,GPX1,ENSG00000233276,"GPX1, GPX2, GPX4",,https://www.ncbi.nlm.nih.gov/gene/2876,
Hydroxyoctadecadienoic acid,Dihydroxyoctadecadienoic acid,3,Oxylipins,Octadecanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
Epoxyoctadecenoic acid,Dihydroxyoctadecadienoic acid,2,Oxylipins,Octadecanoid Biosynthesis,soluble epoxide hydrolase,EPHX2,ENSG00000120915,EPHX2,,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000120915;r=8:27490781-27545564,
Dihydroxyoctadecadienoic acid,Trihydroxyoctadecenoic acid,4,Oxylipins,Octadecanoid Biosynthesis,Lipoxygenase,ALOX5,ENSG00000012779,"ALOX5,ALOX12,ALOX15,ALOX15B",,https://useast.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000012779;r=10:45374176-45446119,
