Node	Name	synthesis.pathway	SetID	Level
Monoacylglycerol	Monoacylglycerol	Glycerolipids	Glycerolipid Metabolism	1
Triacylglycerol	Triacylglycerol	Glycerolipids	Glycerolipid Metabolism	1
Acylcarnitine	Acylcarnitine	Carnitines	Lipid Transport	1
Carnitine	Carnitine	Carnitines	Lipid Transport	1
Fatty acyl-CoA	Fatty acyl-CoA	Lipid precursors	Lipid Transport	1
Cardiolipin	Cardiolipin	Phospholipids	Phospholipid Metabolism	1
DHAP	DHAP	Lipid precursors	Phospholipid Metabolism	1
Glycophosphatidylinositol	Glycophosphatidylinositol	Phospholipids	Phospholipid Metabolism	1
Lysophosphatidic acid	Lysophosphatidic acid	Glycerophospholipids	Phospholipid Metabolism	1
Lysophosphatidylcholine	Lysophosphatidylcholine	Glycerophospholipids	Phospholipid Metabolism	1
Lysophosphatidylethanolamine	Lysophosphatidylethanolamine	Glycerophospholipids	Phospholipid Metabolism	1
Lysophosphatidylglycerol	Lysophosphatidylglycerol	Glycerophospholipids	Phospholipid Metabolism	1
Lysophosphatidylinositol	Lysophosphatidylinositol	Glycerophospholipids	Phospholipid Metabolism	1
Lysophosphatidylserine	Lysophosphatidylserine	Glycerophospholipids	Phospholipid Metabolism	1
Phosphatidic acid	Phosphatidic acid	Glycerophospholipids	Phospholipid Metabolism	1
Phosphatidylcholine	Phosphatidylcholine	Glycerophospholipids	Phospholipid Metabolism	1
Phosphatidylethanolamine	Phosphatidylethanolamine	Glycerophospholipids	Phospholipid Metabolism	1
Phosphatidylglycerol	Phosphatidylglycerol	Phospholipids	Phospholipid Metabolism	1
Phosphatidylglycerol phosphate	Phosphatidylglycerol phosphate	Phospholipids	Phospholipid Metabolism	1
Phosphatidylinositol	Phosphatidylinositol	Phospholipids	Phospholipid Metabolism	1
Phosphatidylserine	Phosphatidylserine	Glycerophospholipids	Phospholipid Metabolism	1
Plasmalogen	Plasmalogen	Phospholipids	Phospholipid Metabolism	1
3-ketodihydrosphingosine	3-ketodihydrosphingosine	Lipid precursors	Sphingolipid Metabolism	1
Acylceramide	Acylceramide	Sphingolipids	Sphingolipid Metabolism	1
Ceramide	Ceramide	Sphingolipids	Sphingolipid Metabolism	1
Ceramide 1-phosphate	Ceramide 1-phosphate	Sphingolipids	Sphingolipid Metabolism	1
Dihydroceramide	Dihydroceramide	Sphingolipids	Sphingolipid Metabolism	1
Dihydrosphingosine	Dihydrosphingosine	Lipid precursors	Sphingolipid Metabolism	1
Glycosylceramide	Glycosylceramide	Sphingolipids	Sphingolipid Metabolism	1
Lactosylceramide	Lactosylceramide	Sphingolipids	Sphingolipid Metabolism	1
Saturated FA/Palmitic acid	Saturated FA/Palmitic acid	Fatty Acids	Sphingolipid Metabolism	1
Serine	Serine	Lipid precursors	Sphingolipid Metabolism	1
Sphingomyelin	Sphingomyelin	Sphingolipids	Sphingolipid Metabolism	1
Sphingosine	Sphingosine	Sphingolipids	Sphingolipid Metabolism	1
Sphingosine 1-phosphate	Sphingosine 1-phosphate	Sphingolipids	Sphingolipid Metabolism	1
Cholesterol	Cholesterol	Sterols	Sterol Lipid Metabolism	1
Cholesterol Ester	Cholesterol Ester	Sterols	Sterol Lipid Metabolism	1
HMG-CoA	HMG-CoA	Lipid precursors	Sterol Lipid Metabolism	1
Mevalonate	Mevalonate	Lipid precursors	Sterol Lipid Metabolism	1
